PC1,PC2,PC3,PC4,PC5,Category___clothing,Category___electronics,Category___furniture,Category___groceries,Category___toys,Region___east,Region___north,Region___south,Region___west,Holiday/Promotion___0,Holiday/Promotion___1,Seasonality___autumn,Seasonality___spring,Seasonality___summer,Seasonality___winter,yhat
-0.7846083083265764,-0.2549180157572994,1.3378222275948854,-1.4692483872074469,0.645146860342435,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,121.7956560849204
-2.047900579810878,-0.5617009220214455,-0.250740873942324,0.3793140005579278,0.651058074587925,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,93.74063719943157
-1.9709340845799677,-1.0892114921648606,-0.7321000291239199,0.1334831063652354,0.5123247120767604,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,54.54890958089864
2.2913289164683506,0.1417454071934226,-0.8578836008655023,-0.1329498495671636,0.7428808217253127,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,156.4463975713601
-2.3848951306070707,-1.0405059471906843,-1.0314424707774428,0.528519275012872,1.076928751604943,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,57.33802400597418
-2.482049017904674,1.0472988272367096,0.4540793782023406,0.405599921494106,-0.1036251413274869,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,218.60486199648443
-1.2687706579537448,-1.1856245546546496,0.1649911258544535,0.0277441524064313,1.5887542120100224,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,49.13028833008022
-0.1309215929370949,0.4869163511112236,-0.380981595260399,0.7378872727457694,-0.0130214937519503,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,178.12174734699005
0.2879597523506715,-0.8247903127569954,-0.4337635962433702,1.0712997017353691,-0.5790242085200689,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,77.86815980212242
-1.9510091575808064,-1.2377577363471413,-0.7856271662277361,-1.911153314316428,-0.8949677799765733,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,43.743194941716055
1.0030389091534264,-1.7858501729799257,0.3644326305346709,0.4933488944104455,1.0961619299940637,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.950642926213106
-1.0706326205669623,-0.2160748825455932,0.5727810636121865,2.177338701104669,0.3076175897849366,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,123.15988102014062
0.8839817543146312,2.1437747752406993,1.460895801517428,-1.3465367529363037,0.5765461610761078,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,309.2070287689284
2.247500148727537,-1.4993573419688455,1.0691851601765032,-0.0389203953366731,-0.3067888313151617,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,29.452190604598883
-1.5204346641674993,-1.403120621171134,-0.9060961739491596,0.4997204592685117,-0.2120504456049501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.782355940657297
1.293355579498373,-1.2956283761138383,0.1360367453725929,0.0812707710695155,0.006953581429102,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,44.003402148536665
0.5694373766031473,3.300117610063012,0.1422462772184922,1.4536529176152055,0.9007114315306208,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,396.650243921959
